1020266	VIP Cuernavaca	Cuernavaca	Morelos	Mexico	266	10.118.1.	16..19
1020267	La Cuspide	Naucalpan	Estado de Mexico	Mexico	267	10.116.14.	1..12
1020270	Zentralia	Colima	Colima	Mexico	270	10.114.1.	1..12
1020272	Forum Tlaquepaque	Guadalajara	Jalisco	Mexico	272	10.109.15.	1..16
1020273	Macroplaza del Mar	Ensenada	Baja California Norte	Mexico	273	10.96.13.	1..12
1020274	Sendero Queretaro	Queretaro	Queretaro	Mexico	274	10.111.2.	1..12
1020275	Sendero Hermosillo	Hermosillo	Sonora	Mexico	275	10.98.2.	1..10
1020276	Sendero Toluca	Toluca	Estado de Mexico	Mexico	276	10.116.25.	1..12
1020277	La Gran Plaza	Leon	Guanajuato	Mexico	277	10.110.3.	1..10
1020278	Tehuacan	Puebla	Puebla	Mexico	278	10.119.7.	1..12
1020279	VIP La Cuspide	Naucalpan	Estado de Mexico	Mexico	279	10.116.14.	13..16
1020280	San Roque	Monterrey	Nuevo Leon	Mexico	280	10.103.7.	1..8
1020282	Altaria	Aguascalientes	Aguascalientes	Mexico	282	10.108.3.	1..10
1020283	VIP Andares	Guadalajara	Jalisco	Mexico	283	10.109.9.	1..12
1020284	Parque Celaya	Celaya	Guanajuato	Mexico	284	10.110.7.	1..12
1020285	La Isla	Acapulco	Guerrero	Mexico	285	10.121.5.	1..6
1020286	Paseo Interlomas	Huixquilucan	Estado de Mexico	Mexico	286	10.116.36.	1..10
1020288	Plaza Las Americas	Tuxtla Gutierrez	Chiapas	Mexico	288	10.124.4.	1..10
1020289	Zentralia Coacalco	Coacalco	Estado de Mexico	Mexico	289	10.116.2.	1..8
1020290	Sendero Matamoros	Matamoros	Tamaulipas	Mexico	290	10.104.2.	1..11
1020291	Sendero Saltillo	Saltillo	Coahuila	Mexico	291	10.100.2.	1..12
1020292	Gran Patio Zaragoza	Ciudad Juarez	Chihuahua	Mexico	292	10.99.5.	1..12
1020293	Plaza Central	Ciudad de Mexico	Ciudad de Mexico	Mexico	293	10.117.10.	1..16
1020294	Portal Churubusco	Ciudad de Mexico	Ciudad de Mexico	Mexico	294	10.116.27.	1..10
1020295	VIP Las Americas Morelia	Morelia	Michoacan	Mexico	295	10.115.4.	6..9
1020296	Plaza Ana	Zamora	Michoacan	Mexico	296	10.115.5.	1..8
1020297	Forum Buenavista	Ciudad de Mexico	Ciudad de Mexico	Mexico	297	10.117.21.	1..16
1020298	Plaza Crystal Tuxpan	Tuxpan	Veracruz	Mexico	298	10.120.3.	1..7
1020299	Tecamac	Tecamac	Estado de Mexico	Mexico	299	10.116.15.	1..8
1020300	Coacalco Power Center	Coacalco	Estado de Mexico	Mexico	300	10.116.3.	1..11
1020301	Merida Altabrisa	Merida	Yucatan	Mexico	301	10.126.2.	1..10
1020303	Galerias Las Torres	Leon	Guanajuato	Mexico	303	10.110.4.	1..12
1020304	Ermita	Ciudad de Mexico	Ciudad de Mexico	Mexico	304	10.117.11.	1..12
1020305	Espacio Las Americas	Morelia	Michoacan	Mexico	305	10.115.4.	1..5
1020306	Paseo 2000 Tijuana	Tijuana	Baja California Norte	Mexico	306	10.96.4.	1..10
1020307	Paseo Reforma	Nuevo Laredo	Tamaulipas	Mexico	307	10.104.4.	1..14
1020308	Paseo Acoxpa	Ciudad de Mexico	Ciudad de Mexico	Mexico	308	10.117.17.	1..12
1020309	Esfera Queretaro	Queretaro	Queretaro	Mexico	309	10.111.8.	1..15
1020311	Ciudadela Lifestyle Center	Guadalajara	Jalisco	Mexico	311	10.109.10.	1..14
1020312	Galerias Hipodromo	Tijuana	Baja California Norte	Mexico	312	10.96.18.	1..8
1020315	Pabellon Rosarito	Rosarito	Baja California Norte	Mexico	315	10.96.16.	1..10
1020316	VIP Altaria	Aguascalientes	Aguascalientes	Mexico	316	10.108.3.	11..14
1020317	VIP Paseo Arcos Bosques	Ciudad de Mexico	Ciudad de Mexico	Mexico	317	10.117.9.	1..12
1020318	Patio Lincoln (Sendero Lincoln)	Monterrey	Nuevo Leon	Mexico	318	10.103.9.	1..10
1020319	Citadel Monterrey	Monterrey	Nuevo Leon	Mexico	319	10.103.8.	1..14
1020320	Sendero Villahermosa	Villahermosa	Tabasco	Mexico	320	10.123.7.	1..8
1020321	Galerias del Valle	Mexicali	Baja California Norte	Mexico	321	10.96.12.	1..12
1020322	Galerias Mall Hermosillo	Hermosillo	Sonora	Mexico	322	10.98.6.	1..10
1020323	VIP Merida Altabrisa	Merida	Yucatan	Mexico	323	10.126.2.	11..14
1020324	San Luis Rio Colorado	San Luis Rio Colorado	Sonora	Mexico	324	10.98.7.	1..8
1020325	San Jose del Cabo	Los Cabos	Baja California Sur	Mexico	325	10.97.2.	1..8
1020326	Tepeji del Rio	Tepeji del Rio	Hidalgo	Mexico	326	10.112.3.	1..6
1020329	Galerias Tapachula	Tapachula	Chiapas	Mexico	329	10.124.2.	1..10
1020330	Sendero Ecatepec	Ecatepec	Estado de Mexico	Mexico	330	10.116.9.	1..10
1020332	Sendero Ciudad Juarez	Ciudad Juarez	Chihuahua	Mexico	332	10.99.6.	1..10
1020333	Interplaza Monterrey	Monterrey	Nuevo Leon	Mexico	333	10.103.10.	1..6
1020334	Galerias Metropolitana	Uriangato	Guanajuato	Mexico	334	10.110.9.	1..7
1020335	Galerias Tamarindos	Iguala	Guerrero	Mexico	335	10.121.7.	1..7
1020339	Centro Lago de Guadalupe	Cuautitlan Izcalli	Estado de Mexico	Mexico	339	10.116.28.	1..10
1020340	Pedregal Atizapan	Atizapan	Estado de Mexico	Mexico	340	10.116.20.	1..8
1020342	Plaza Aeropuerto	Ciudad de Mexico	Ciudad de Mexico	Mexico	342	10.117.12.	1..11
1020343	Sendero Apodaca	Monterrey	Nuevo Leon	Mexico	343	10.103.11.	1..8
1020344	Plaza Telmex	Nezahualcoyotl	Estado de Mexico	Mexico	344	10.116.17.	1..16
1020345	VIP Angelopolis	Puebla	Puebla	Mexico	345	10.119.1.	16..20
1020346	Luna Parc	Cuautitlan Izcalli	Estado de Mexico	Mexico	346	10.116.21.	1..10
1020347	Patio Coatzacoalcos	Coatzacoalcos	Veracruz	Mexico	347	10.120.4.	1..10
1020348	VIP Samara	Ciudad de Mexico	Ciudad de Mexico	Mexico	348	10.117.19.	1..9
1020349	Gran Patio Texcoco	Texcoco	Estado de Mexico	Mexico	349	10.116.29.	1..10
1020351	Playas	Tijuana	Baja California Norte	Mexico	351	10.96.6.	1..8
1020352	Plaza Centenario	Mexicali	Baja California Norte	Mexico	352	10.96.11.	1..12
1020353	Plaza Marina	Ensenada	Baja California Norte	Mexico	353	10.96.14.	1..12
1020354	Plaza Americana Otay	Tijuana	Baja California Norte	Mexico	354	10.96.5.	1..10
1020355	Galerias Chilpancingo	Chilpancingo	Guerrero	Mexico	355	10.121.8.	1..7
1020357	Encuentro Fortuna	Ciudad de Mexico	Ciudad de Mexico	Mexico	357	10.117.31.	1..8
1020358	Patio Ayotla	Ixtapaluca	Estado de Mexico	Mexico	358	10.116.19.	1..7
