	10.110.13.	10	0	1020527	Centro Comercial Altacia	Leon	Guanajuato	Mexico
	10.111.12.	10	0	1020528	La Victoria Latitud	Queretaro	Queretaro	Mexico
	10.118.4.	5	0	1020529	Emiliano Zapata	Emiliano Zapata	Morelos	Mexico
	10.110.12.	6	0	1020542	La Joya	Silao	Guanajuato	Mexico
	10.112.2.	4	15	1020543	Galerias Pachuca (VIP)	Pachuca	Hidalgo	Mexico
	10.125.1.	8	0	1020544	Galerias Campeche	Campeche	Campeche	Mexico
	10.120.12.	6	10	1020545	El Dorado Veracruz (VIP)	Veracruz	Veracruz	Mexico
	10.111.9.	10	0	1020560	Antea Queretaro	Queretaro	Queretaro	Mexico
	10.123.8.	5	0	1020561	Chedraui Macuspana	Macuspana	Tabasco	Mexico
	10.103.25.	5	0	1020563	Garcia NL	Garcia	Nuevo Leon	Mexico
	10.118.6.	5	0	1020564	Los Cedros Jiutepec	Jiutepec	Morelos	Mexico
	10.113.3.	7	0	1020565	Plaza Comercial Apizaco	Apizaco	Tlaxcala	Mexico
	10.115.14.	8	0	1020566	Centro Comercial Plaza Sahuayo	Sahuayo	Michoacan	Mexico
	10.110.13.	4	10	1020568	Centro Comercial Altacia (VIP)	Leon	Guanajuato	Mexico
	10.116.42.	13	0	1020570	Parque Toreo	Naucalpan	Estado de Mexico	Mexico
	10.111.9.	4	10	1020571	Antea Queretaro (VIP)	Queretaro	Queretaro	Mexico
